id,f84faf3b-09a3-4d4d-9bfd-9e51ce7e3322
name,Cal_785_SEX139
device,EZI860
spectrometer,ZTNX
time_stamp,2022-08-19 18:42:55
integ_time,60000
integ_unit,ms
averages,5
laserPower,100
user,Admin
wl,785nm
Pixels,Wavelength,Wavenumbers,Raman_Shift,Raw_Data,Background_Data,Processed_Data
116,763.8204091435734,9508.548846083346,-348.9044472726007,2748,2799,-51
117,764.0633108637429,9509.23164823744,-344.7423714674685,6398,6453,-55
118,764.3061183069213,9509.915364872311,-340.58455501347885,6121,6107,14
119,764.5488314753178,9510.599996381305,-336.4309922766413,3532,3526,6
120,764.7914503711412,9511.28554315836,-332.28167763331544,2712,2676,36
121,765.0339749965999,9511.972005598007,-328.1366054701982,2695,2699,-4
122,765.2764053539031,9512.659384095368,-323.9957701842711,2804,2809,-5
123,765.5187414452593,9513.347679046152,-319.85916618280567,3398,3339,59
124,765.7609832728773,9514.036890846668,-315.7267878833161,2795,2739,56
125,766.0031308389658,9514.727019893806,-311.59862971355756,3574,3619,-45
126,766.2451841457339,9515.418066585065,-307.47468611148247,2357,2321,36
127,766.48714319539,9516.110031318529,-303.3549515252405,2896,2892,4
128,766.7290079901431,9516.802914492879,-299.2394204131276,5179,5121,58
129,766.9707785322018,9517.496716507389,-295.12808724359525,3450,3456,-6
130,767.2124548237753,9518.191437761936,-291.020946495192,4769,4725,44
131,767.4540368670717,9518.887078656982,-286.91799265657824,2218,2222,-4
132,767.6955246643003,9519.583639593606,-282.81922022647154,5660,5556,104
133,767.9369182176697,9520.281120973457,-278.72462371363576,2470,2431,39
134,768.1782175293886,9520.979523198806,-274.63419763687193,2237,2257,-20
135,768.4194226016659,9521.678846672512,-270.54793652496915,4630,4663,-33
136,768.6605334367104,9522.379091798035,-266.4658349167064,3653,3722,-69
137,768.9015500367307,9523.080258979438,-262.3878873608144,2541,2491,50
138,769.1424724039355,9523.782348621384,-258.3140884159627,2698,2778,-80
139,769.383300540534,9524.485361129131,-254.24443265072182,2516,2513,3
140,769.6240344487346,9525.189296908546,-250.1789146435683,2833,2905,-72
141,769.8646741307463,9525.8941563661,-246.1175289828377,3055,3095,-40
142,770.1052195887775,9526.599939908856,-242.0602702667154,3419,3405,14
143,770.3456708250374,9527.306647944491,-238.00713310320202,2227,2234,-7
144,770.5860278417346,9528.014280881289,-233.95811211010619,2208,2209,-1
145,770.8262906410779,9528.722839128124,-229.91320191501723,2081,2125,-44
146,771.066459225276,9529.43232309449,-225.87239715528153,3622,3609,13
147,771.3065335965376,9530.14273319048,-221.8356924779789,2948,2933,15
148,771.5465137570719,9530.854069826795,-217.80308253990074,2661,2646,15
149,771.7863997090872,9531.566333414743,-213.7745620075391,2300,2328,-28
150,772.0261914547923,9532.279524366244,-209.7501255570503,2702,2688,14
151,772.2658889963964,9532.993643093818,-205.729767874235,2327,2288,39
152,772.5054923361077,9533.708690010599,-201.71348365453446,3562,3511,51
153,772.7450014761355,9534.424665530334,-197.7012676029833,2035,2033,2
154,772.9844164186883,9535.141570067372,-193.69311443420588,2147,2103,44
155,773.2237371659747,9535.85940403668,-189.68901887239258,2224,2261,-37
156,773.4629637202039,9536.578167853833,-185.68897565126713,5183,5105,78
157,773.7020960835844,9537.297861935025,-181.69297951408112,2519,2494,25
158,773.9411342583251,9538.018486697045,-177.70102521358126,2913,2846,67
159,774.1800782466346,9538.740042557318,-173.71310751199303,3913,3898,15
160,774.4189280507217,9539.462529933864,-169.72922118100246,2863,2835,28
161,774.6576836727954,9540.185949245328,-165.74936100171976,2587,2566,21
162,774.8963451150643,9540.910300910971,-161.7735217646848,4849,4861,-12
163,775.1349123797371,9541.635585350661,-157.80169826982342,2951,2880,71
164,775.3733854690227,9542.361802984893,-153.8338853264347,3150,3136,14
165,775.6117643851297,9543.088954234767,-149.87007775317284,3280,3252,28
166,775.8500491302673,9543.817039522013,-145.91027037801246,2112,2099,13
167,776.0882397066439,9544.546059268965,-141.954458038256,1882,1907,-25
168,776.3263361164682,9545.276013898598,-138.00263558048823,4940,4900,40
169,776.5643383619491,9546.006903834479,-134.05479786055616,5884,5837,47
170,776.8022464452957,9546.738729500816,-130.11093974356004,2595,2560,35
171,777.0400603687164,9547.471491322427,-126.1710561038351,2872,2769,103
172,777.2777801344199,9548.205189724758,-122.23514182492067,2224,2195,29
173,777.5154057446151,9548.939825133873,-118.30319179953835,3477,3469,8
174,777.752937201511,9549.675397976454,-114.37520092957925,2598,2600,-2
175,777.990374507316,9550.411908679822,-110.45116412608763,2235,2174,61
176,778.2277176642391,9551.149357671897,-106.53107630922455,2065,2096,-31
177,778.464966674489,9551.887745381253,-102.61493240826417,2512,2478,34
178,778.7021215402744,9552.627072237063,-98.70272736156653,2536,2431,105
179,778.9391822638045,9553.367338669137,-94.79445611655024,2779,2739,40
180,779.1761488472873,9554.108545107916,-90.89011362969609,2734,2696,38
181,779.4130212929323,9554.85069198446,-86.98969486649253,3311,3302,9
182,779.6497996029478,9555.593779730458,-83.09319480144654,2904,2858,46
183,779.886483779543,9556.337808778233,-79.20060841804548,2316,2266,50
184,780.1230738249262,9557.082779560731,-75.31193070875156,3207,3193,14
185,780.3595697413064,9557.828692511524,-71.42715667496736,3728,3652,76
186,780.5959715308925,9558.57554806483,-67.54628132701578,2796,2757,39
187,780.8322791958931,9559.323346655474,-63.66929968414365,3230,3280,-50
188,781.0684927385171,9560.072088718935,-59.796206774472694,2747,2727,20
189,781.304612160973,9560.82177469131,-55.92699763500309,3312,3310,2
190,781.5406374654698,9561.572405009338,-52.0616673115735,2495,2489,6
191,781.7765686542164,9562.323980110381,-48.200210858859236,1993,1940,53
192,782.0124057294214,9563.076500432448,-44.34262334034133,3824,3839,-15
193,782.2481486932935,9563.829966414169,-40.48889982829928,2613,2547,66
194,782.4837975480415,9564.58437849482,-36.63903540377646,3804,3705,99
195,782.7193522958743,9565.339737114304,-32.79302515657105,2758,2673,85
196,782.9548129390006,9566.096042713172,-28.950864185212367,4930,4920,10
197,783.1901794796293,9566.8532957326,-25.11254759694816,4908,4888,20
198,783.4254519199689,9567.611496614412,-21.27807050771912,2870,2808,62
199,783.6606302622283,9568.370645801066,-17.447428042137062,2460,2379,81
200,783.8957145086164,9569.130743735655,-13.620615333481283,2618,2433,185
201,784.1307046613418,9569.89179086192,-9.797627523656729,3717,3363,354
202,784.3656007226134,9570.653787624244,-5.978459763197634,3794,2550,1244
203,784.6004026946399,9571.416734467637,-2.163107211231136,6335,3396,2939
204,784.83511057963,9572.180631837766,1.6484349645263592,3629,2325,1304
205,785.0697243797927,9572.94548018093,5.4561715878055566,3364,3082,282
206,785.3042440973366,9573.71127994408,9.260107473786093,3197,3044,153
207,785.5386697344705,9574.478031574808,13.060247429125639,2290,2238,52
208,785.773001293403,9575.245735521348,16.856596251967176,2309,2269,40
209,786.0072387763433,9576.014392232575,20.649158731980833,2736,2683,53
210,786.2413821855,9576.784002158025,24.437939650352973,3517,3438,79
211,786.4754315230816,9577.554565747869,28.222943779820753,2230,2233,-3
212,786.7093867912971,9578.326083452923,32.00417588469395,2078,1999,79
213,786.9432479923553,9579.098555724653,35.78164072086406,2640,2623,17
214,787.177015128465,9579.87198301518,39.555343035827946,3626,3623,3
215,787.4106882018348,9580.646365777273,43.32528756870056,3799,3794,5
216,787.6442672146734,9581.421704464345,47.09147905024042,2872,2801,71
217,787.87775216919,9582.197999530457,50.85392220286781,2252,2232,20
218,788.111143067593,9582.975251430336,54.61262174067019,2094,2020,74
219,788.3444399120913,9583.753460619348,58.367582369433194,4246,4252,-6
220,788.5776427048937,9584.532627553515,62.118808786660566,5230,5141,89
221,788.8107514482089,9585.312752689511,65.86630568157784,2422,2395,27
222,789.0437661442456,9586.093836484666,69.61007773516508,3356,3316,40
223,789.2766867952129,9586.875879396965,73.35012962016594,2069,1980,89
224,789.5095134033191,9587.658881885047,77.08646600110592,2593,2470,123
225,789.7422459707733,9588.44284440821,80.81909153431593,3546,3526,20
226,789.9748844997843,9589.227767426404,84.54801086794691,2498,2433,65
227,790.2074289925608,9590.013651400242,88.27322864198618,2904,2921,-17
228,790.4398794513115,9590.800496790986,91.99474948827014,3680,3610,70
229,790.6722358782451,9591.588304060568,95.71257803051344,3328,3226,102
230,790.9044982755705,9592.37707367157,99.426718884318,2794,2730,64
231,791.1366666454966,9593.166806087243,103.13717665720037,3579,3500,79
232,791.368740990232,9593.95750177149,106.84395594859166,3229,3142,87
233,791.6007213119856,9594.749161188884,110.54706134987214,3262,3077,185
234,791.832607612966,9595.541784804653,114.24649744437488,2189,1888,301
235,792.0643998953819,9596.335373084694,117.94226880741849,2476,1951,525
236,792.2960981614424,9597.129926495561,121.63438000631072,2467,1817,650
237,792.5277024133561,9597.925445504476,125.32283560037217,3998,3258,740
238,792.7592126533317,9598.721930579328,129.0076401409508,3711,2835,876
239,792.9906288835781,9599.51938218867,132.68879817144193,4676,3741,935
240,793.2219511063039,9600.317800801724,136.3663142272992,4662,3405,1257
241,793.4531793237182,9601.117186888368,140.04019283606908,5234,3679,1555
242,793.6843135380294,9601.917540919165,143.71043851737636,4838,2712,2126
243,793.9153537514466,9602.718863365335,147.37705578297505,8256,4477,3779
244,794.1462999661783,9603.521154698768,151.04004913674112,9203,2819,6384
245,794.3771521844335,9604.324415392033,154.69942307470524,8920,2188,6732
246,794.6079104084207,9605.128645918354,158.3551820850546,8303,4085,4218
247,794.838574640349,9605.933846751645,162.00733064816382,8131,5797,2334
248,795.0691448824267,9606.740018366474,165.65587323660043,3724,2307,1417
249,795.2996211368633,9607.547161238093,169.30081431515578,3007,1821,1186
250,795.5300034058669,9608.35527584243,172.9421583408414,3429,2505,924
251,795.7602916916464,9609.164362656078,176.57990976292353,2902,2040,862
252,795.990485996411,9609.974422156309,180.21407302293414,2966,2225,741
253,796.2205863223692,9610.785454821073,183.84465255468172,3394,2646,748
254,796.4505926717295,9611.597461128995,187.47165278427315,5156,4377,779
255,796.6805050467009,9612.410441559372,191.0950781301283,3983,3287,696
256,796.9103234494922,9613.22439659219,194.7149330030054,2628,1912,716
257,797.1400478823123,9614.039326708105,198.331221806003,3019,2241,778
258,797.3696783473699,9614.855232388454,201.94394893458343,3779,2988,791
259,797.5992148468737,9615.672114115254,205.55311877658573,3744,2974,770
260,797.8286573830324,9616.489972371206,209.15873571224915,3190,2423,767
261,798.0580059580548,9617.308807639687,212.7608041142223,3613,2859,754
262,798.2872605741499,9618.128620404763,216.35932834758682,3788,3000,788
263,798.5164212335261,9618.949411151176,219.95431276985732,3231,2410,821
264,798.7454879383923,9619.771180364356,223.545761731016,3685,2906,779
265,798.9744606909575,9620.593928530421,227.13367957352716,2684,1865,819
266,799.2033394934303,9621.417656136164,230.71807063233723,5146,4248,898
267,799.4321243480197,9622.242363669073,234.29893923490386,2954,2040,914
268,799.660815256934,9623.068051617316,237.87628970120863,3189,2141,1048
269,799.8894122223825,9623.894720469756,241.45012634377713,3644,2547,1097
270,800.1179152465734,9624.72237071594,245.02045346767886,6203,4833,1370
271,800.346324331716,9625.551002846101,248.58727537057098,3869,2440,1429
272,800.5746394800188,9626.380617351168,252.15059634268732,3954,2220,1734
273,800.8028606936906,9627.211214722753,255.7104206668639,7107,4894,2213
274,801.0309879749402,9628.04279545317,259.2667526185626,5640,2867,2773
275,801.2590213259764,9628.875360035412,262.8195964658728,6229,2755,3474
276,801.4869607490081,9629.70890896317,266.36895646954076,7510,2746,4764
277,801.7148062462437,9630.543442730834,269.9148368829676,9784,2706,7078
278,801.9425578198924,9631.378961833481,273.4572419522476,14792,2958,11834
279,802.1702154721626,9632.21546676689,276.9961759161572,22201,3934,18267
280,802.3977792052634,9633.052958027523,280.5316430062005,21894,2549,19345
281,802.6252490214033,9633.891436112555,284.063647446593,16593,2252,14341
282,802.8526249227912,9634.73090151984,287.59219345430324,10880,2615,8265
283,803.0799069116359,9635.571354747944,291.1172852390566,7115,2323,4792
284,803.3070949901461,9636.412796296132,294.6389270033462,5799,2607,3192
285,803.5341891605308,9637.255226664358,298.1571229424619,5412,3144,2268
286,803.7611894249984,9638.098646353283,301.6718772444831,5973,4135,1838
287,803.9880957857579,9638.943055864269,305.18319409032233,5204,3780,1424
288,804.214908245018,9639.78845569938,308.6910776537163,4759,3578,1181
289,804.4416268049875,9640.63484636138,312.1955321012549,3606,2479,1127
290,804.6682514678753,9641.482228353736,315.6965615923939,3296,2313,983
291,804.8947822358898,9642.330602180624,319.1941702794568,2853,1978,875
292,805.1212191112402,9643.179968346916,322.6883623076785,3181,2322,859
293,805.3475620961351,9644.030327358201,326.1791418151872,2898,2151,747
294,805.5738111927833,9644.881679720764,329.66651293304244,2866,2110,756
295,805.7999664033935,9645.734025941607,333.15047978523694,2765,1973,792
296,806.0260277301744,9646.587366528427,336.63104648872036,2614,1910,704
297,806.251995175335,9647.441701989648,340.10821715341376,3595,2893,702
298,806.4778687410841,9648.297032834384,343.5819958822151,3750,3072,678
299,806.7036484296302,9649.153359572469,347.0523867710192,3230,2588,642
300,806.9293342431822,9650.01068271445,350.5193939087342,2868,2280,588
301,807.1549261839488,9650.86900277158,353.98302137729775,2888,2222,666
302,807.380424254139,9651.728320255832,357.44327325169,3697,3030,667
303,807.6058284559614,9652.588635679884,360.9001535999407,4415,3789,626
304,807.8311387916247,9653.449949557133,364.3536664831511,2694,2013,681
305,808.0563552633378,9654.312262401692,367.80381595551194,4449,3840,609
306,808.2814778733095,9655.175574728384,371.2506060643111,2587,1975,612
307,808.5065066237485,9656.039887052759,374.6940408499479,4062,3465,597
308,808.7314415168636,9656.905199891075,378.13412434595125,2740,2174,566
309,808.9562825548635,9657.77151376031,381.57086057899437,3130,2564,566
310,809.1810297399571,9658.63882917816,385.0042535689038,3274,2636,638
311,809.4056830743532,9659.507146663047,388.4343073286775,3008,2388,620
312,809.6302425602604,9660.376466734107,391.86102586449965,3233,2628,605
313,809.8547081998875,9661.246789911202,395.2844131757531,2611,2045,566
314,810.0790799954434,9662.118116714913,398.7044732550378,2496,1894,602
315,810.3033579491369,9662.990447666542,402.12121008817417,2935,2286,649
316,810.5275420631765,9663.863783288123,405.53462765422887,3523,2891,632
317,810.7516323397712,9664.738124102405,408.94472992552187,4071,3478,593
318,810.9756287811297,9665.613470632868,412.35152086764833,3766,3252,514
319,811.1995313894608,9666.489823403715,415.75500443948044,3406,2831,575
320,811.4233401669734,9667.367182939879,419.15518459319287,3020,2408,612
321,811.647055115876,9668.245549767023,422.5520652742646,3167,2570,597
322,811.8706762383775,9669.124924411526,425.94565042150975,3322,2721,601
323,812.0942035366868,9670.005307400517,429.335943967076,5334,4742,592
324,812.3176370130127,9670.886699261837,432.7229498364661,4178,3675,503
325,812.5409766695636,9671.769100524065,436.10667194854545,2722,2162,560
326,812.7642225085485,9672.652511716517,439.48711421556186,3173,2614,559
327,812.9873745321763,9673.536933369229,442.86428054316207,3111,2555,556
328,813.2104327426555,9674.422366012983,446.2381748303935,2860,2245,615
329,813.4333971421952,9675.308810179287,449.60880096973347,2974,2413,561
330,813.6562677330039,9676.196266400393,452.97616284708533,2592,2062,530
331,813.8790445172905,9677.084735209277,456.3402643418078,6283,5763,520
332,814.1017274972638,9677.974217139663,459.70110932671673,4053,3539,514
333,814.3243166751325,9678.86471272601,463.0587016681086,5293,4717,576
334,814.5468120531053,9679.756222503505,466.4130452257625,3520,2970,550
335,814.7692136333911,9680.648747008092,469.76414385296744,4296,3816,480
336,814.9915214181988,9681.54228677644,473.1120013965258,3170,2616,554
337,815.2137354097368,9682.43684234597,476.4566216967644,3537,3025,512
338,815.4358556102143,9683.332414254834,479.79800858756175,3121,2553,568
339,815.6578820218398,9684.229003041934,483.13616589634444,3909,3367,542
340,815.879814646822,9685.12660924692,486.47109744410886,2394,1844,550
341,816.1016534873698,9686.025233410173,489.80280704544134,3036,2508,528
342,816.323398545692,9686.924876072833,493.1312985085126,4759,4180,579
343,816.5450498239975,9687.825537776767,496.4565756351142,3580,3031,549
344,816.7666073244948,9688.727219064618,499.7786422206475,3126,2535,591
345,816.9880710493928,9689.62992047975,503.09750205416026,3220,2636,584
346,817.2094410009003,9690.53364256629,506.41315891833733,2549,1975,574
347,817.4307171812261,9691.438385869107,509.7256165895353,2842,2359,483
348,817.6518995925788,9692.344150933824,513.0348788377753,2477,1956,521
349,817.8729882371674,9693.250938306814,516.3409494267719,2221,1675,546
350,818.0939831172005,9694.158748535205,519.6438321139351,4885,4321,564
351,818.3148842348871,9695.067582166874,522.9435306503958,3170,2642,528
352,818.5356915924356,9695.977439750452,526.2400487809984,3774,3301,473
353,818.756405192055,9696.888321835328,529.5333902443356,4978,4314,664
354,818.9770250359541,9697.80022897164,532.8235587727479,3935,3464,471
355,819.1975511263416,9698.71316171029,536.1105580923424,3793,3247,546
356,819.4179834654263,9699.627120602929,539.394391922998,3373,2835,538
357,819.638322055417,9700.542106201974,542.675063978387,2696,2248,448
358,819.8585668985224,9701.458119060595,545.9525779659864,3009,2462,547
359,820.0787179969516,9702.375159732726,549.2269375870849,3824,3297,527
360,820.2987753529128,9703.293228773058,552.4981465367939,4394,3960,434
361,820.5187389686151,9704.212326737046,555.7662085040749,2778,2278,500
362,820.7386088462673,9705.132454180908,559.0311271717358,3820,3296,524
363,820.958384988078,9706.053611661617,562.2929062164487,2988,2452,536
364,821.1780673962563,9706.97579973692,565.5515493087726,2751,2179,572
365,821.3976560730107,9707.899018965325,568.8070601131433,2486,2023,463
366,821.6171510205498,9708.82326990611,572.0594422879069,2816,2282,534
367,821.8365522410828,9709.748553119312,575.3086994853268,3170,2585,585
368,822.0558597368184,9710.674869165741,578.5548353515908,3377,2853,524
369,822.2750735099651,9711.602218606977,581.7978535268223,2172,1754,418
370,822.4941935627318,9712.530602005356,585.0377576451021,2621,2155,466
371,822.7132198973273,9713.460019924009,588.2745513344773,2716,2270,446
372,822.9321525159603,9714.390472926816,591.5082382169614,3277,2819,458
373,823.1509914208399,9715.321961578435,594.7388219085708,3067,2587,480
374,823.3697366141744,9716.254486444303,597.9663060193118,3079,2643,436
375,823.5883880981729,9717.188048090626,601.1906941532081,3164,2649,515
376,823.806945875044,9718.122647084383,604.4119899083082,2428,1945,483
377,824.0254099469967,9719.058283993332,607.6301968766995,3104,2591,513
378,824.2437803162394,9719.994959386013,610.845318644516,2673,2234,439
379,824.4620569849811,9720.932673831725,614.0573587919528,2850,2358,492
380,824.6802399554306,9721.871427900562,617.266320893282,3567,3111,456
381,824.8983292297966,9722.811222163396,620.4722085168607,3346,2909,437
382,825.1163248102881,9723.75205719187,623.6750252251452,3460,2901,559
383,825.3342266991135,9724.69393355842,626.8747745746907,2893,2312,581
384,825.5520348984817,9725.636851836249,630.0714601161847,3549,3100,449
385,825.7697494106015,9726.580812599357,633.2650853944444,2277,1757,520
386,825.987370237682,9727.52581642252,636.4556539484358,3068,2562,506
387,826.2048973819313,9728.471863881303,639.6431693112711,2338,1836,502
388,826.4223308455588,9729.418955552046,642.8276350102435,3145,2598,547
389,826.6396706307729,9730.367092011891,646.0090545668165,3451,2912,539
